[18:08:28] [INFO] received Windows console close event; shutting log-core down
[18:09:38] [INFO] received Windows console close event; shutting log-core down
[18:10:31] [INFO] received Windows console close event; shutting log-core down
[18:11:56] [INFO] received Windows console close event; shutting log-core down
[18:12:59] [INFO] received Windows console close event; shutting log-core down
[18:15:54] [INFO] received Windows console close event; shutting log-core down
[18:15:57] [INFO] received Windows console close event; shutting log-core down
[18:16:21] [INFO] received Windows console close event; shutting log-core down
[18:18:37] [INFO] received Windows console close event; shutting log-core down
[18:20:47] [INFO] received Windows console close event; shutting log-core down
[18:21:32] [INFO] received Windows console close event; shutting log-core down
[18:30:07] [INFO] received Windows console close event; shutting log-core down
[18:31:11] [INFO] received Windows console close event; shutting log-core down
[18:31:34] [INFO] received Windows console close event; shutting log-core down
[18:33:28] [INFO] received Windows console close event; shutting log-core down
[18:38:05] [INFO] received Windows console close event; shutting log-core down
[18:39:25] [INFO] received Windows console close event; shutting log-core down
[18:42:52] [INFO] received Windows console close event; shutting log-core down
[5.10.2025. 18:43:21] [INFO] received Windows console close event; shutting log-core down
[5.10.2025. 19:44:56] [INFO] received Windows console close event; shutting log-core down
[5.10.2025. 19:47:31] [INFO] received Windows console close event; shutting log-core down
[5.10.2025. 19:48:08] [INFO] received Windows console close event; shutting log-core down
